,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
0,gender,Female,Female,176,44,0.25,132,0.75,0.44,0.66,-0.40546510810816444,0.19898038032997356
1,gender,Male,Male,124,56,0.45161290322580644,68,0.5483870967741935,0.56,0.34,0.4989911661189879,0.19898038032997356
2,Age Group,40-50,40-50,10,4,0.4,6,0.6,0.04,0.03,0.287682072451781,0.03861246006318619
3,Age Group,51-60,51-60,37,14,0.3783783783783784,23,0.6216216216216216,0.14,0.115,0.1967102942460543,0.03861246006318619
4,Age Group,61-70,61-70,93,35,0.3763440860215054,58,0.6236559139784946,0.35,0.29,0.18805223150293962,0.03861246006318619
5,Age Group,71-80,71-80,116,35,0.3017241379310345,81,0.6982758620689655,0.35,0.405,-0.14595391262307997,0.03861246006318619
6,Age Group,81 and Above,81 and Above,44,12,0.2727272727272727,32,0.7272727272727273,0.12,0.16,-0.2876820724517809,0.03861246006318619
7,CKD(t=0),1.0,1.0,17,8,0.47058823529411764,9,0.5294117647058824,0.08,0.045,0.5753641449035619,0.366781687289173
8,CKD(t=0),2.0,2.0,71,31,0.43661971830985913,40,0.5633802816901409,0.31,0.2,0.43825493093115514,0.366781687289173
9,CKD(t=0),3.0,3.0,85,32,0.3764705882352941,53,0.6235294117647059,0.32,0.265,0.18859116980754997,0.366781687289173
10,CKD(t=0),3.5,3.5,100,16,0.16,84,0.84,0.16,0.42,-0.9650808960435869,0.366781687289173
11,CKD(t=0),4.0,4.0,27,13,0.48148148148148145,14,0.5185185185185185,0.13,0.07,0.6190392084062234,0.366781687289173
12,Dieabetes(t=0),0,0,196,70,0.35714285714285715,126,0.6428571428571429,0.7,0.63,0.10536051565782614,0.022055673264792665
13,Dieabetes(t=0),1,1,104,30,0.28846153846153844,74,0.7115384615384616,0.3,0.37,-0.20972053098206914,0.022055673264792665
14,Cholestrol(t=0),0,0,201,71,0.35323383084577115,130,0.6467661691542289,0.71,0.65,0.08829260714567821,0.016580690318917072
15,Cholestrol(t=0),1,1,99,29,0.29292929292929293,70,0.7070707070707071,0.29,0.35,-0.18805223150293973,0.016580690318917072
16,Hyper Tension(t=0),0,0,191,68,0.35602094240837695,123,0.643979057591623,0.68,0.615,0.10047053036363453,0.018550536475747035
17,Hyper Tension(t=0),1,1,109,32,0.29357798165137616,77,0.7064220183486238,0.32,0.385,-0.18492233849401207,0.018550536475747035
18,Hemoglobin(t=0),0,0,235,69,0.2936170212765957,166,0.7063829787234043,0.69,0.83,-0.18473410319933853,0.1099711149079576
19,Hemoglobin(t=0),1,1,65,31,0.47692307692307695,34,0.5230769230769231,0.31,0.17,0.6007738604289301,0.1099711149079576
20,Glucose_delta,10.0-10.0,10.0-10.0,3,2,0.6666666666666666,1,0.3333333333333333,0.02,0.005,1.3862943611198906,0.4646933174667424
21,Glucose_delta,10.0-5.0,10.0-5.0,1,0,0.0,1,1.0,0.0,0.005,0.0,0.4646933174667424
22,Glucose_delta,10.0-8.0,10.0-8.0,4,0,0.0,4,1.0,0.0,0.02,0.0,0.4646933174667424
